entity_id,risk_score,top_factors,reason_text,intervention_tier,bias_flag
STU-01172,0.8969,"['approval_rate', ""Mother's occupation"", ""Mother's qualification""]","High risk due to low course approval rate, mother's occupation, and mother's education level. Immediate intervention recommended.",High,True
STU-01173,0.0879,"['approval_rate', 'Course', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-01174,0.1531,"['approval_rate', 'Tuition fees up to date', 'Age at enrollment']","Low risk. Key factors: low course approval rate, (mitigating) tuition payment status, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-01175,0.7329,"['approval_rate', 'Gender', 'Tuition fees up to date']","High risk due to low course approval rate, gender, and (mitigating) tuition payment status. Immediate intervention recommended.",High,True
STU-01176,0.0682,"['approval_rate', 'Unemployment rate', 'perf_delta']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and declining academic performance. No immediate action required.",Low,True
STU-01177,0.0638,"['approval_rate', 'Admission grade', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) 1st semester grades. No immediate action required.",Low,True
STU-01178,0.884,"['approval_rate', 'Unemployment rate', 'Marital Status']","High risk due to low course approval rate, unemployment rate environment, and (mitigating) marital status. Immediate intervention recommended.",High,True
STU-01179,0.0614,"['approval_rate', 'Scholarship holder', 'Curricular units 1st sem (evaluations)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) 1st semester evaluation attempts. No immediate action required.",Low,True
STU-01180,0.7466,"['approval_rate', 'Age at enrollment', 'Unemployment rate']","High risk due to low course approval rate, age at enrollment, and unemployment rate environment. Immediate intervention recommended.",High,True
STU-01181,0.071,"['approval_rate', 'Course', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01182,0.0661,"['approval_rate', 'Admission grade', 'perf_delta']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and declining academic performance. No immediate action required.",Low,True
STU-01183,0.7233,"['Tuition fees up to date', 'approval_rate', 'Debtor']","High risk due to tuition payment status, low course approval rate, and outstanding debt. Immediate intervention recommended.",High,True
STU-01184,0.063,"[""Mother's occupation"", 'approval_rate', 'Admission grade']","Low risk. Key factors: (mitigating) mother's occupation, (mitigating) low course approval rate, and admission grade level. No immediate action required.",Low,True
STU-01185,0.0638,"['approval_rate', 'Scholarship holder', 'Age at enrollment']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-01186,0.0655,"['approval_rate', 'Age at enrollment', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, age at enrollment, and unemployment rate environment. No immediate action required.",Low,True
STU-01187,0.7653,"['approval_rate', 'Unemployment rate', 'Age at enrollment']","High risk due to low course approval rate, (mitigating) unemployment rate environment, and (mitigating) age at enrollment. Immediate intervention recommended.",High,True
STU-01188,0.7278,"['Debtor', 'approval_rate', 'Displaced']","High risk due to outstanding debt, (mitigating) low course approval rate, and displacement status. Immediate intervention recommended.",High,True
STU-01189,0.0814,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, 2nd semester grades, and chosen course of study. No immediate action required.",Low,True
STU-01190,0.9001,"['approval_rate', ""Mother's occupation"", ""Mother's qualification""]","High risk due to low course approval rate, mother's occupation, and mother's education level. Immediate intervention recommended.",High,True
STU-01191,0.077,"['approval_rate', 'Application order', 'Application mode']","Low risk. Key factors: (mitigating) low course approval rate, application preference order, and (mitigating) application method. No immediate action required.",Low,True
STU-01192,0.0838,"['approval_rate', 'Curricular units 1st sem (enrolled)', 'Course']","Low risk. Key factors: low course approval rate, (mitigating) 1st semester enrollment, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-01193,0.0848,"['approval_rate', 'Age at enrollment', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, age at enrollment, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-01194,0.0646,"['approval_rate', 'Age at enrollment', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, age at enrollment, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-01195,0.1031,"['approval_rate', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and unemployment rate environment. No immediate action required.",Low,True
STU-01196,0.8967,"['approval_rate', 'Tuition fees up to date', 'Course']","High risk due to low course approval rate, tuition payment status, and (mitigating) chosen course of study. Immediate intervention recommended.",High,True
STU-01197,0.4681,"['Course', 'approval_rate', 'Tuition fees up to date']","Moderate risk influenced by chosen course of study, low course approval rate, and (mitigating) tuition payment status. Review within 30 days advised.",Medium,True
STU-01198,0.1176,"['Tuition fees up to date', 'approval_rate', 'Previous qualification (grade)']","Low risk. Key factors: tuition payment status, (mitigating) low course approval rate, and (mitigating) prior qualification grade. No immediate action required.",Low,True
STU-01199,0.0713,"['approval_rate', 'Curricular units 1st sem (grade)', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, 1st semester grades, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-01200,0.0645,"['approval_rate', 'Displaced', 'Previous qualification (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) displacement status, and (mitigating) prior qualification grade. No immediate action required.",Low,True
STU-01201,0.063,"['approval_rate', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-01202,0.8978,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","High risk due to tuition payment status, low course approval rate, and age at enrollment. Immediate intervention recommended.",High,True
STU-01203,0.0625,"[""Mother's occupation"", 'Curricular units 2nd sem (evaluations)', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) mother's occupation, (mitigating) 2nd semester evaluation attempts, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01204,0.9007,"['approval_rate', 'Tuition fees up to date', ""Mother's occupation""]","High risk due to low course approval rate, tuition payment status, and mother's occupation. Immediate intervention recommended.",High,True
STU-01205,0.1739,"['Age at enrollment', 'Tuition fees up to date', ""Father's occupation""]","Low risk. Key factors: age at enrollment, (mitigating) tuition payment status, and father's occupation. No immediate action required.",Low,True
STU-01206,0.0723,"['approval_rate', 'Displaced', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) displacement status, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01207,0.0623,"['approval_rate', 'Debtor', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, outstanding debt, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-01208,0.9006,"['approval_rate', 'Tuition fees up to date', 'Age at enrollment']","High risk due to low course approval rate, tuition payment status, and age at enrollment. Immediate intervention recommended.",High,True
STU-01209,0.8891,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","High risk due to tuition payment status, low course approval rate, and age at enrollment. Immediate intervention recommended.",High,True
STU-01210,0.8996,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","High risk due to tuition payment status, low course approval rate, and age at enrollment. Immediate intervention recommended.",High,True
STU-01211,0.0698,"['grade_delta', 'Tuition fees up to date', 'Age at enrollment']","Low risk. Key factors: (mitigating) dropping grades between semesters, (mitigating) tuition payment status, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-01212,0.0624,"['approval_rate', 'total_no_eval', 'Marital Status']","Low risk. Key factors: (mitigating) low course approval rate, skipping evaluations, and (mitigating) marital status. No immediate action required.",Low,True
STU-01213,0.1378,"[""Mother's occupation"", 'Curricular units 2nd sem (evaluations)', 'Tuition fees up to date']","Low risk. Key factors: mother's occupation, (mitigating) 2nd semester evaluation attempts, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01214,0.0798,"['approval_rate', 'perf_delta', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) declining academic performance, and unemployment rate environment. No immediate action required.",Low,True
STU-01215,0.063,"['approval_rate', 'Admission grade', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) displacement status. No immediate action required.",Low,True
STU-01216,0.1274,"['Tuition fees up to date', 'Age at enrollment', 'Unemployment rate']","Low risk. Key factors: (mitigating) tuition payment status, (mitigating) age at enrollment, and unemployment rate environment. No immediate action required.",Low,True
STU-01217,0.0623,"['approval_rate', 'Course', ""Father's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-01218,0.0635,"['approval_rate', 'Tuition fees up to date', 'Curricular units 2nd sem (evaluations)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) tuition payment status, and (mitigating) 2nd semester evaluation attempts. No immediate action required.",Low,True
STU-01219,0.0746,"['approval_rate', 'Admission grade', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, admission grade level, and unemployment rate environment. No immediate action required.",Low,True
STU-01220,0.431,"['approval_rate', 'Course', 'Curricular units 1st sem (enrolled)']","Moderate risk influenced by low course approval rate, (mitigating) chosen course of study, and (mitigating) 1st semester enrollment. Review within 30 days advised.",Medium,True
STU-01221,0.0616,"['approval_rate', 'Scholarship holder', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) 2nd semester grades. No immediate action required.",Low,True
STU-01222,0.9005,"['Tuition fees up to date', 'approval_rate', 'Course']","High risk due to tuition payment status, low course approval rate, and chosen course of study. Immediate intervention recommended.",High,True
STU-01223,0.0653,"['approval_rate', 'Previous qualification (grade)', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) prior qualification grade, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-01224,0.062,"['approval_rate', 'GDP', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) economic GDP conditions, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-01225,0.0616,"['approval_rate', 'Admission grade', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) 2nd semester grades. No immediate action required.",Low,True
STU-01226,0.0661,"['approval_rate', 'Unemployment rate', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and (mitigating) displacement status. No immediate action required.",Low,True
STU-01227,0.0696,"['approval_rate', 'Age at enrollment', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) age at enrollment, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-01228,0.0777,"['approval_rate', 'Application order', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, application preference order, and 2nd semester grades. No immediate action required.",Low,True
STU-01229,0.1903,"['Unemployment rate', 'Course', 'Curricular units 2nd sem (credited)']","Low risk. Key factors: (mitigating) unemployment rate environment, (mitigating) chosen course of study, and 2nd semester credits. No immediate action required.",Low,True
STU-01230,0.0629,"['approval_rate', 'Scholarship holder', ""Father's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-01231,0.1131,"['approval_rate', 'Debtor', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, outstanding debt, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-01232,0.0652,"['approval_rate', 'Unemployment rate', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and (mitigating) 1st semester grades. No immediate action required.",Low,True
STU-01233,0.0648,"['approval_rate', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and chosen course of study. No immediate action required.",Low,True
STU-01234,0.0888,"['approval_rate', 'Admission grade', 'Application order']","Low risk. Key factors: (mitigating) low course approval rate, admission grade level, and application preference order. No immediate action required.",Low,True
STU-01235,0.8368,"['approval_rate', 'Age at enrollment', 'Course']","High risk due to low course approval rate, age at enrollment, and chosen course of study. Immediate intervention recommended.",High,True
STU-01236,0.2574,"['approval_rate', 'Application order', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, application preference order, and 2nd semester grades. No immediate action required.",Low,True
STU-01237,0.8568,"['approval_rate', 'grade_delta', 'Curricular units 2nd sem (approved)']","High risk due to low course approval rate, dropping grades between semesters, and low 2nd semester approvals. Immediate intervention recommended.",High,True
STU-01238,0.0621,"['approval_rate', 'Course', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-01239,0.8951,"['approval_rate', 'Course', 'Admission grade']","High risk due to low course approval rate, chosen course of study, and admission grade level. Immediate intervention recommended.",High,True
STU-01240,0.9007,"['Tuition fees up to date', 'Age at enrollment', 'Course']","High risk due to tuition payment status, age at enrollment, and chosen course of study. Immediate intervention recommended.",High,True
STU-01241,0.8998,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","High risk due to tuition payment status, low course approval rate, and age at enrollment. Immediate intervention recommended.",High,True
STU-01242,0.484,"['approval_rate', 'Admission grade', ""Father's occupation""]","Moderate risk influenced by low course approval rate, (mitigating) admission grade level, and (mitigating) father's occupation. Review within 30 days advised.",Medium,True
STU-01243,0.0649,"['approval_rate', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-01244,0.9003,"['Tuition fees up to date', 'approval_rate', 'Course']","High risk due to tuition payment status, low course approval rate, and chosen course of study. Immediate intervention recommended.",High,True
STU-01245,0.8973,"['approval_rate', 'Course', 'Age at enrollment']","High risk due to low course approval rate, chosen course of study, and age at enrollment. Immediate intervention recommended.",High,True
STU-01246,0.0646,"['approval_rate', 'GDP', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, economic GDP conditions, and (mitigating) displacement status. No immediate action required.",Low,True
STU-01247,0.8998,"['approval_rate', 'Curricular units 2nd sem (evaluations)', 'Curricular units 2nd sem (approved)']","High risk due to low course approval rate, 2nd semester evaluation attempts, and low 2nd semester approvals. Immediate intervention recommended.",High,True
STU-01248,0.291,"['approval_rate', ""Father's occupation"", 'Unemployment rate']","Low risk. Key factors: low course approval rate, (mitigating) father's occupation, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-01249,0.8878,"['Tuition fees up to date', 'approval_rate', 'Course']","High risk due to tuition payment status, low course approval rate, and chosen course of study. Immediate intervention recommended.",High,True
STU-01250,0.0742,"['approval_rate', 'Curricular units 2nd sem (grade)', 'GDP']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and economic GDP conditions. No immediate action required.",Low,True
STU-01251,0.0774,"['approval_rate', 'Course', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and admission grade level. No immediate action required.",Low,True
STU-01252,0.0908,"['approval_rate', 'Course', 'GDP']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and economic GDP conditions. No immediate action required.",Low,True
STU-01253,0.0624,"['approval_rate', 'Unemployment rate', 'grade_delta']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and (mitigating) dropping grades between semesters. No immediate action required.",Low,True
STU-01254,0.0683,"['approval_rate', 'Curricular units 2nd sem (approved)', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: low course approval rate, (mitigating) low 2nd semester approvals, and (mitigating) 2nd semester grades. No immediate action required.",Low,True
STU-01255,0.8784,"['approval_rate', 'Age at enrollment', 'Scholarship holder']","High risk due to low course approval rate, age at enrollment, and (mitigating) scholarship support. Immediate intervention recommended.",High,True
STU-01256,0.0616,"['approval_rate', 'Admission grade', ""Father's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-01257,0.0648,"['approval_rate', 'Admission grade', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01258,0.0662,"['approval_rate', 'Scholarship holder', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01259,0.0688,"['approval_rate', 'Course', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and 1st semester grades. No immediate action required.",Low,True
STU-01260,0.0661,"['approval_rate', 'Unemployment rate', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and admission grade level. No immediate action required.",Low,True
STU-01261,0.8901,"['approval_rate', 'Age at enrollment', 'Debtor']","High risk due to low course approval rate, age at enrollment, and outstanding debt. Immediate intervention recommended.",High,True
STU-01262,0.8994,"['approval_rate', 'Curricular units 2nd sem (evaluations)', 'Course']","High risk due to low course approval rate, 2nd semester evaluation attempts, and chosen course of study. Immediate intervention recommended.",High,True
STU-01263,0.0652,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-01264,0.0637,"['approval_rate', 'Scholarship holder', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-01265,0.0636,"['approval_rate', 'Unemployment rate', 'Application order']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and application preference order. No immediate action required.",Low,True
STU-01266,0.0653,"['approval_rate', 'Previous qualification (grade)', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) prior qualification grade, and (mitigating) 2nd semester grades. No immediate action required.",Low,True
STU-01267,0.0626,"['approval_rate', 'Scholarship holder', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01268,0.0782,"[""Mother's occupation"", 'Course', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) mother's occupation, chosen course of study, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01269,0.896,"['approval_rate', 'Age at enrollment', 'Course']","High risk due to low course approval rate, age at enrollment, and chosen course of study. Immediate intervention recommended.",High,True
STU-01270,0.0908,"['approval_rate', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and unemployment rate environment. No immediate action required.",Low,True
STU-01271,0.0659,"['approval_rate', 'perf_delta', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, declining academic performance, and (mitigating) 1st semester grades. No immediate action required.",Low,True
STU-01272,0.2514,"['approval_rate', 'Age at enrollment', 'Tuition fees up to date']","Low risk. Key factors: low course approval rate, age at enrollment, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01273,0.898,"['approval_rate', 'Curricular units 2nd sem (evaluations)', 'Course']","High risk due to low course approval rate, 2nd semester evaluation attempts, and chosen course of study. Immediate intervention recommended.",High,True
STU-01274,0.0931,"['approval_rate', 'Course', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01275,0.0745,"['approval_rate', 'GDP', ""Father's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, economic GDP conditions, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-01276,0.0922,"['Age at enrollment', 'perf_delta', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) age at enrollment, (mitigating) declining academic performance, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01277,0.8163,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","High risk due to tuition payment status, (mitigating) low course approval rate, and age at enrollment. Immediate intervention recommended.",High,True
STU-01278,0.1218,"['approval_rate', 'Scholarship holder', 'Course']","Low risk. Key factors: low course approval rate, (mitigating) scholarship support, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-01279,0.0618,"['approval_rate', 'Admission grade', 'Scholarship holder']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) scholarship support. No immediate action required.",Low,True
STU-01280,0.0966,"['approval_rate', 'Course', 'GDP']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) economic GDP conditions. No immediate action required.",Low,True
STU-01281,0.0634,"['approval_rate', 'Admission grade', 'Scholarship holder']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) scholarship support. No immediate action required.",Low,True
STU-01282,0.8992,"['approval_rate', 'Tuition fees up to date', 'Age at enrollment']","High risk due to low course approval rate, tuition payment status, and (mitigating) age at enrollment. Immediate intervention recommended.",High,True
STU-01283,0.0658,"['approval_rate', 'Admission grade', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) displacement status. No immediate action required.",Low,True
STU-01284,0.0674,"['approval_rate', 'Displaced', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) displacement status, and chosen course of study. No immediate action required.",Low,True
STU-01285,0.6455,"['approval_rate', 'Course', ""Father's occupation""]","Moderate risk influenced by (mitigating) low course approval rate, chosen course of study, and father's occupation. Review within 30 days advised.",Medium,True
STU-01286,0.0691,"['approval_rate', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-01287,0.0632,"['approval_rate', 'Displaced', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) displacement status, and (mitigating) 1st semester grades. No immediate action required.",Low,True
STU-01288,0.2611,"[""Mother's occupation"", 'approval_rate', 'Tuition fees up to date']","Low risk. Key factors: mother's occupation, (mitigating) low course approval rate, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01289,0.0671,"['approval_rate', 'Admission grade', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) 1st semester grades. No immediate action required.",Low,True
STU-01290,0.0893,"['approval_rate', 'Displaced', 'Scholarship holder']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) displacement status, and (mitigating) scholarship support. No immediate action required.",Low,True
STU-01291,0.0637,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Age at enrollment']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-01292,0.8314,"['approval_rate', 'Course', 'grade_delta']","High risk due to low course approval rate, (mitigating) chosen course of study, and dropping grades between semesters. Immediate intervention recommended.",High,True
STU-01293,0.07,"['approval_rate', 'GDP', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, economic GDP conditions, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-01294,0.8988,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","High risk due to tuition payment status, low course approval rate, and age at enrollment. Immediate intervention recommended.",High,True
STU-01295,0.8785,"['approval_rate', 'Course', 'Curricular units 2nd sem (approved)']","High risk due to low course approval rate, (mitigating) chosen course of study, and low 2nd semester approvals. Immediate intervention recommended.",High,True
STU-01296,0.9002,"['approval_rate', ""Mother's occupation"", ""Mother's qualification""]","High risk due to low course approval rate, mother's occupation, and mother's education level. Immediate intervention recommended.",High,True
STU-01297,0.8184,"['approval_rate', 'Age at enrollment', 'Gender']","High risk due to low course approval rate, age at enrollment, and gender. Immediate intervention recommended.",High,True
STU-01298,0.0666,"['approval_rate', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-01299,0.69,"['approval_rate', 'Age at enrollment', ""Father's occupation""]","Moderate risk influenced by low course approval rate, age at enrollment, and (mitigating) father's occupation. Review within 30 days advised.",Medium,True
STU-01300,0.8934,"['approval_rate', 'grade_delta', 'Curricular units 2nd sem (approved)']","High risk due to low course approval rate, dropping grades between semesters, and low 2nd semester approvals. Immediate intervention recommended.",High,True
STU-01301,0.9006,"['approval_rate', 'Tuition fees up to date', 'Curricular units 2nd sem (evaluations)']","High risk due to low course approval rate, tuition payment status, and 2nd semester evaluation attempts. Immediate intervention recommended.",High,True
STU-01302,0.1971,"['approval_rate', 'Curricular units 1st sem (enrolled)', 'Course']","Low risk. Key factors: low course approval rate, (mitigating) 1st semester enrollment, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-01303,0.0667,"['approval_rate', 'Admission grade', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-01304,0.0726,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and (mitigating) 1st semester grades. No immediate action required.",Low,True
STU-01305,0.0851,"['approval_rate', 'Course', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01306,0.0612,"['approval_rate', 'Course', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-01307,0.0641,"['approval_rate', 'GDP', ""Father's qualification""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) economic GDP conditions, and (mitigating) father's education level. No immediate action required.",Low,True
STU-01308,0.0675,"['approval_rate', 'Curricular units 2nd sem (approved)', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) low 2nd semester approvals, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01309,0.0655,"['approval_rate', 'Admission grade', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-01310,0.0611,"[""Mother's occupation"", 'approval_rate', 'Unemployment rate']","Low risk. Key factors: (mitigating) mother's occupation, (mitigating) low course approval rate, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-01311,0.0623,"['approval_rate', 'Scholarship holder', ""Mother's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) mother's occupation. No immediate action required.",Low,True
STU-01312,0.0689,"['approval_rate', 'Course', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-01313,0.603,"['approval_rate', 'Application order', 'Admission grade']","Moderate risk influenced by (mitigating) low course approval rate, application preference order, and admission grade level. Review within 30 days advised.",Medium,True
STU-01314,0.1034,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","Low risk. Key factors: (mitigating) tuition payment status, (mitigating) low course approval rate, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-01315,0.0732,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Age at enrollment']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and (mitigating) age at enrollment. No immediate action required.",Low,True
